Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss),04-UDPLag(f1),04-UDPLag(loss),05-NTP(f1),05-NTP(loss),06-SNMP(f1),06-SNMP(loss),07-SSDP(f1),07-SSDP(loss),08-Syn(f1),08-Syn(loss),09-TFTP(f1),09-TFTP(loss),10-UDP(f1),10-UDP(loss),11-NetBIOS(f1),11-NetBIOS(loss),12-MSSQL(f1),12-MSSQL(loss)
mlp,21,0.80077,0.81481,0.00196,0.90625,0.76628,0.91026,0.24328,0.96386,0.03896,0.81113,0.00640,0.94680,0.07707,0.94338,0.10426,0.82279,0.00738,0.51126,0.00293,0.90398,0.01018,0.81553,0.00771,0.90478,0.12241,0.16590,0.11816
mlp,22,0.73538,0.00000,0.00196,0.90625,0.76628,0.91026,0.24328,0.96386,0.03896,0.80808,0.00640,0.94288,0.07707,0.94338,0.10426,0.81113,0.00738,0.51031,0.00287,0.89249,0.01018,0.80031,0.00771,0.90480,0.12241,0.17812,0.12291
mlp,23,0.84154,0.85714,0.00785,0.90625,0.76628,0.91026,0.24328,0.96386,0.03896,0.80952,0.00640,0.94509,0.07707,0.94215,0.10426,0.82259,0.00738,0.98774,0.00283,0.93315,0.01018,0.81542,0.00771,0.90434,0.12241,0.14233,0.26099
mlp,24,0.85692,0.85714,0.00785,0.90625,0.76628,0.91026,0.24328,0.96800,0.03896,0.98299,0.00752,0.96106,0.07707,0.94338,0.10426,0.99809,0.00522,0.50967,0.00283,0.90566,0.01018,0.99795,0.00620,0.90512,0.12241,0.27662,0.10226
mlp,25,0.81462,0.00000,0.00785,0.90625,0.76628,0.91026,0.24328,0.97619,0.03896,0.98973,0.00752,0.95822,0.07707,0.94384,0.10426,0.99872,0.00522,0.50983,0.00279,0.90605,0.01018,0.99800,0.00620,0.90651,0.12241,0.57557,0.35173
*mlp,26,0.93077,0.85714,0.00806,0.90625,0.76628,0.91026,0.24328,0.97619,0.03896,0.98132,0.00752,0.95944,0.07707,0.94261,0.10426,0.99766,0.00522,0.98764,0.00274,0.93392,0.01018,0.99784,0.00620,0.90748,0.12241,0.73017,0.62687
mlp,27,0.91846,0.85714,0.00415,0.92308,0.02647,0.93082,0.12815,0.98425,0.03896,0.98820,0.00752,0.96211,0.07707,0.95663,0.10426,0.99766,0.00522,0.51140,0.00274,0.90525,0.01018,0.99879,0.00620,0.92286,0.09637,0.99852,0.17221
mlp,28,0.91846,0.85714,0.00385,0.90625,0.02647,0.91026,0.12815,0.97619,0.03896,0.98132,0.00752,0.96028,0.07707,0.94261,0.10426,0.99766,0.00522,0.98939,0.00258,0.93392,0.00819,0.99776,0.00620,0.90614,0.09637,0.57858,0.17221
*mlp,29,0.95692,0.85714,0.00471,0.92308,0.02432,0.93082,0.13058,0.98425,0.03896,0.98820,0.00752,0.96211,0.07707,0.95622,0.10426,0.99766,0.00522,0.98742,0.00258,0.93371,0.00819,0.99879,0.00620,0.92281,0.08777,0.99849,0.26596
mlp,30,0.95231,0.85714,0.00272,0.90625,0.02711,0.91026,0.12853,0.98024,0.03896,0.98820,0.00752,0.96296,0.07707,0.94353,0.41145,0.99766,0.00522,0.98808,0.00258,0.93433,0.00818,0.99876,0.00620,0.90981,0.12014,0.99796,0.26596
mlp,31,0.91462,0.85714,0.00360,0.90625,0.02792,0.91026,0.13058,0.98425,0.03896,0.98820,0.00752,0.96296,0.07707,0.94627,0.08365,0.99787,0.00522,0.51290,0.00258,0.90855,0.00817,0.99879,0.00620,0.91135,0.16598,0.99815,0.26596
*mlp,32,0.95692,0.85714,0.00242,0.90625,0.02693,0.91026,0.13043,0.98024,0.03896,0.98820,0.00752,0.96211,0.07707,0.94399,0.08365,0.99787,0.00522,0.98917,0.00246,0.99256,0.00643,0.99876,0.00620,0.91002,0.09307,0.99803,0.26596
mlp,33,0.95615,0.85714,0.02002,0.90625,0.02564,0.93082,0.13546,0.98425,0.03896,0.98820,0.00752,0.96296,0.07707,0.95308,0.09648,0.99787,0.00522,0.98775,0.00246,0.93668,0.00643,0.99876,0.00620,0.91899,0.16912,0.99841,0.26596
mlp,34,0.92154,0.85714,0.00739,0.90625,0.02645,0.93082,0.12525,0.98425,0.03896,0.98820,0.00752,0.96296,0.07707,0.95308,0.12120,0.99787,0.00522,0.51275,0.00246,0.96922,0.00801,0.99879,0.00620,0.91905,0.12360,0.99841,0.26596
mlp,35,0.95615,0.85714,0.00359,0.90625,0.02559,0.91026,0.12525,0.98024,0.03896,0.98820,0.00752,0.96296,0.07707,0.94353,0.12120,0.99745,0.00522,0.98994,0.00233,0.99101,0.00801,0.99849,0.00620,0.90948,0.12343,0.98908,0.26596
mlp,36,0.91615,0.85714,0.00268,0.90625,0.02637,0.92405,0.13001,0.98425,0.03896,0.98820,0.00752,0.96381,0.07707,0.95263,0.08651,0.99766,0.00522,0.51440,0.00233,0.90900,0.00801,0.99852,0.00620,0.91673,0.16969,0.99830,0.26596
